cluster,phase,country,iso3,date,meeting_id,speech_id,unit_id,speaker_name,violence_type,attribution,positive_negative,transcend,imperialism,relation_type,confidence_mean,evidence_verified_all,evidence_quote,paragraph_text,signature_codes_matched
C1,P1_war_onset,Russian Federation,RUS,2023-12-08,S/PV.9498,S/PV.9498#9,0f2a95cb14a118aa,Mr. Polyanskiy,VD,ATR-ISR,,,,,0.9,1,"indiscriminate bombardment of Gaza and the deliberate targeting of hospitals, schools, refugee camps and United Nations facilities || indiscriminate bombardment of Gaza and the deliberate targeting of hospitals, schools, refugee camps and United Nations facilities","Such a step, if taken, would constitute a blatant war crime. Such a flooding could be akin to an order of “no mercy” for anyone, and there may be civilians present in those tunnels. The likelihood of that is very high, for where else could they escape the indiscriminate bombardment of Gaza and the deliberate targeting of hospitals, schools, refugee camps and United Nations facilities? As we heard from the Secretary-General today, nowhere is safe in the small, densely populated Gaza Strip. The southern part of the Strip, which had previously been subjected to regular strikes, has now been completely transformed into an active war zone.",attribution__ATR-ISR|violence_type__VD
C1,P1_war_onset,Syrian Arab Republic,SYR,2023-10-18,S/PV.9443,S/PV.9443#41,77e2204f96823ed2,Mr. Dandy,VD,ATR-ISR,,T0,,,0.933,1,"the heinous massacre by the Zionist criminal forces of hundreds of innocent people in the Al Ahli Hospital in the Gaza Strip || the heinous massacre by the Zionist criminal forces of hundreds of innocent people in the Al Ahli Hospital in the Gaza Strip || The Syrian Arab Republic condemns in the strongest terms the heinous massacre by the Zionist criminal forces of hundreds of innocent people in the Al Ahli Hospital in the Gaza Strip. It is a brutal act that demonstrates the level of hatred of the Israeli authorities, whose crimes have attained the highest level of aggression.","Yesterday we witnessed one of the most heinous and bloody crimes against humanity in the modern era, perpetrated in the context of Israel’s ongoing aggression against the Palestinian people. The Syrian Arab Republic condemns in the strongest terms the heinous massacre by the Zionist criminal forces of hundreds of innocent people in the Al Ahli Hospital in the Gaza Strip. It is a brutal act that demonstrates the level of hatred of the Israeli authorities, whose crimes have attained the highest level of aggression. It is reminiscent of the crimes that resulted in Israel’s founding and reflects a stark picture of the continuing approach of the gangs that established that criminal entity.",attribution__ATR-ISR|transcend__T0|violence_type__VD
C1,P1_war_onset,Indonesia,IDN,2023-12-08,S/PV.9498,S/PV.9498#27,93b1ab6d96d795de,Mr. Nasir,VD,NONE,PN3,T2,,SYM,0.81,1,They must stop the inhumane acts against the Palestinians || They must stop the inhumane acts against the Palestinians || make a two-State solution a reality,"Lastly, let us reaffirm our commitment to upholding international law and international humanitarian law in their entirety. There can be no double standards in how we uphold international law and international humanitarian law and accountability. They should be applied equally to all countries, big or small. There can be no double standard on humanity. For those reasons, we appeal to members of the Council to do the right thing. They must stop the inhumane acts against the Palestinians and listen to their consciences. Let us choose peace over conflict, compassion over cruelty and unity over division. Let us work to bring peace to Palestine and Israel. Let us address the root cause and make a two-State solution a reality.",violence_type__VD
C1,P1_war_onset,South Africa,ZAF,2023-11-28,A/78/PV.39,A/78/PV.39#16,4ac68a0a95097d11,Ms. Joyini,VS,ATR-ISR,,,,,0.7,1,"Area C, which is fully controlled by Israel... Palestinians struggle to obtain land permits for housing and farming in the remaining 40 per cent || Area C, which is fully controlled by Israel... Palestinians struggle to obtain land permits for housing and farming in the remaining 40 per cent","The impact is graver, as outlined in the UNCTAD report, in Area C, which is the focus of UNCTAD’s report. Area C, which is fully controlled by Israel, accounts for more than 60 per cent of the occupied West Bank. It is home to an estimated 300,000 Palestinians who live in 532 residential areas. While approximately 60 per cent of Area C consists of Israeli State land, Palestinians struggle to obtain land permits for housing and farming in the remaining 40 per cent.",attribution__ATR-ISR|violence_type__VS
C1,P1_war_onset,Iraq,IRQ,2023-10-18,S/PV.9443,S/PV.9443#43,3d622e4b738ab1d6,Mr. Al-Fatlawi,VD|VS,ATR-ISR,PN0,,,,0.86,1,"which bombed the Al Ahli Hospital, claiming the lives of hundreds of martyrs and wounding innocent Palestinian citizens || which bombed the Al Ahli Hospital, claiming the lives of hundreds of martyrs and wounding innocent Palestinian citizens || putting an end to those violations, massacres and genocide","The Government of the Republic of Iraq condemns in the strongest terms the heinous crime perpetrated by the Israeli occupation forces, which bombed the Al Ahli Hospital, claiming the lives of hundreds of martyrs and wounding innocent Palestinian citizens. That crime is an extension of the crimes and violations that have been committed by the Israeli occupation forces for seven decades. Iraq calls on the international community, and the Security Council in particular, to assume their legal and moral responsibility in maintaining international peace and security by putting an end to those violations, massacres and genocide, as those practices are serious violations of international law, international humanitarian law, the United Nations Charter and all international humanitarian instruments and norms related to the protection of civilians. We also call for the perpetrators to be held accountable.",attribution__ATR-ISR|violence_type__VS|violence_type__VD
C1,P1_war_onset,Iraq,IRQ,2024-01-24,S/PV.9534 (Resumption 1),S/PV.9534 (Resumption 1)#8,f7a588be117ddccb,Mr. Al-Fatlawi,VD,ATR-ISR,,,,,0.85,1,the massacres and the genocide perpetrated by Israeli occupation forces || the massacres and the genocide perpetrated by Israeli occupation forces,"The Security Council has not been able to fulfil its legal responsibility for the maintenance of international peace and security. It has been repeatedly unable to stop the massacres and the genocide perpetrated by Israeli occupation forces. That has led to the deterioration of the humanitarian situation and a true humanitarian disaster. As the Secretary-General said, it is an unprecedented situation because of the intensity of the military operations. All of that will result in repercussions that impact international and regional peace and security.",attribution__ATR-ISR|violence_type__VD
C1,P1_war_onset,Malaysia,MYS,2023-11-28,A/78/PV.39,A/78/PV.39#3,bc5908255310bb50,Mr. Muhamad,VD|VS,ATR-ISR,PN3,T1,I1,SYM,0.9,1,"ongoing annexation, home demolitions, settlement expansions and forced displacement of Palestinians || ongoing annexation, home demolitions, settlement expansions and forced displacement of Palestinians || urges Member States to officially recognize the State of Palestine in order to promote the two-State solution.","The final chapter, Chapter VII, of the report contains recommendations of the Committee to the Assembly and other relevant actors, which are based on international consensus and the Secretary-General’s known position on the question of Palestine. Specifically, the Committee calls on Israel to halt and reverse its ongoing annexation, home demolitions, settlement expansions and forced displacement of Palestinians, including women and children. The Committee urges Israel to reverse punitive measures against the Palestinian Authority, cease the disproportionate use of lethal force and protect Palestinian civilians, including from Israeli settlers, in line with its obligations under relevant United Nations resolutions and international humanitarian law. The Committee calls on Israel to respect the status quo at the holy sites in Jerusalem, ensure peaceful religious practices and lift the ongoing land, air and sea blockade of Gaza. The Committee deems unilateral decisions taken by Member States to recognize Jerusalem as the capital of Israel as null and void and urges Member States to officially recognize the State of Palestine in order to promote the two-State solution.",attribution__ATR-ISR|violence_type__VS|violence_type__VD|transcend__T1
C1,P1_war_onset,Russian Federation,RUS,2023-12-08,S/PV.9498,S/PV.9498#9,600243151365f64b,Mr. Polyanskiy,VD|VS,ATR-ISR,,,,ANTI,0.9,1,"incessant indiscriminate bombardment and targeted attacks on civilians objects, aimed at instilling terror and panic among civilians || incessant indiscriminate bombardment and targeted attacks on civilians objects, aimed at instilling terror and panic among civilians || a systematic strategy to forcibly displace Palestinians is emerging. Its cannibalistic logic is simple — to make life in Gaza unbearable, even impossible, leaving the civilian population with a single choice: to leave their homes or to be killed.","We would like to emphasize that the consequences of the contamination of groundwater — the only source of fresh water for the people of Gaza — will persist not for years, but for centuries. Together with the incessant indiscriminate bombardment and targeted attacks on civilians objects, aimed at instilling terror and panic among civilians, a systematic strategy to forcibly displace Palestinians is emerging. Its cannibalistic logic is simple — to make life in Gaza unbearable, even impossible, leaving the civilian population with a single choice: to leave their homes or to be killed.",attribution__ATR-ISR|violence_type__VS|relation_type__ANTI|violence_type__VD
C1,P1_war_onset,Egypt,EGY,2024-01-23,S/PV.9534,S/PV.9534#78,4288eea59e5a0199,Mr. Elshandawily,VC|VD,NONE,,T0,,ANTI,0.767,1,claiming civilian lives || claiming civilian lives || liquidate the Palestinian question,"Thirdly, those who imagine that the occupation is sustainable are delusional, as are those who imagine that it is possible to liquidate the Palestinian question and resolve the current situation in the Palestinian territories by force, or to address security concerns exclusively using military means, which have failed miserably so far and have succeeded only in claiming civilian lives and sowing hatred.",transcend__T0|relation_type__ANTI|violence_type__VD
C1,P1_war_onset,Russian Federation,RUS,2023-12-08,S/PV.9499,S/PV.9499#14,dc66fe8a0ef7f7c2,Mr. Polyanskiy,VD,ATR-ISR,,T0,I0,,0.863,1,"Israel's merciless bloodbath || Israel's merciless bloodbath || our colleagues from the United States have literally, before our eyes, issued a death sentence to thousands, if not tens of thousands, more civilians in Palestine and Israel, including women and children, as well as the United Nations staff who are trying to help them","I think it would be no exaggeration to say that this day is one of the darkest in the history of the Middle East. By once again cynically blocking a call for a ceasefire in the Palestinian-Israeli conflict zone, our colleagues from the United States have literally, before our eyes, issued a death sentence to thousands, if not tens of thousands, more civilians in Palestine and Israel, including women and children, as well as the United Nations staff who are trying to help them. History will judge Washington’s actions. They can make as many cynical, beautiful, empty speeches about democracy, human rights, women and peace and security, some rules or other, some order or other, as they like. However, we witnessed the real value of those words just now, when two members of the Security Council chose to remain complicit in Israel’s merciless bloodbath.",attribution__ATR-ISR|transcend__T0|violence_type__VD
C1,P2_post_icj,Algeria,DZA,2024-09-20,S/PV.9730,S/PV.9730#6,51b354a5509cfdcd,Mr. Bendjama,VD,ATR-ISR,,,,,0.9,1,The air strikes against Beirut this morning provide additional proof that the Israeli occupying Power is not at all interested in peace || The air strikes against Beirut this morning provide additional proof that the Israeli occupying Power is not at all interested in peace,"The air strikes against Beirut this morning provide additional proof that the Israeli occupying Power is not at all interested in peace, Therefore, do Israeli occupying authorities truly seek peace with their neighbours? Are they genuinely committed to implementing resolution 2735 (2024)? Are they really committed to a ceasefire in Gaza?",attribution__ATR-ISR|violence_type__VD
C1,P2_post_icj,Algeria,DZA,2024-10-09,S/PV.9744,S/PV.9744#6,d858ff8f839694be,Mr. Bendjama,VD|VS,ATR-ISR,,,I4,,0.88,1,"222 staff members of the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) have been killed, and two thirds of UNRWA's premises have been damaged or destroyed. || 222 staff members of the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) have been killed, and two thirds of UNRWA's premises have been damaged or destroyed. || The fate of the refugees must be, and will be, decided by the refugees themselves, not by the occupying Power.","Amid this catastrophe, the occupier has not spared humanitarian personnel — 222 staff members of the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) have been killed, and two thirds of UNRWA’s premises have been damaged or destroyed. Moreover, the occupier has advanced bills halting UNRWA operations. UNRWA is the witness of the international community’s failure to uphold the rights of Palestinians and the backbone of humanitarian action in the occupied Palestinian territory, in particular in Gaza. For years, the Israeli authorities have made clear their will and desire to dismantle UNRWA because it symbolizes the Palestinian refugees and their inalienable rights. We reiterate that the rights of Palestinian refugees are not subject to statutes of limitations and are guaranteed by international law, which cannot be tailored to fit the occupier’s agenda. The fate of the refugees must be, and will be, decided by the refugees themselves, not by the occupying Power.",attribution__ATR-ISR|violence_type__VS|violence_type__VD
C1,P2_post_icj,Guyana,GUY,2024-03-11,S/PV.9572,S/PV.9572#8,915e7025185e3198,Mrs. Rodrigues-Birkett,VD,ATR-PAL,PN0,,,,0.867,1,including those committed on 7 October || including those committed on 7 October || We call for the cessation of all sexual violence and for leaders to take proactive steps to prevent and enforce accountability for such acts.,"The incidents of sexual violence in Israel and the West Bank contained in the report add another horrific dimension to the tragedy unfolding in the Middle East. Guyana strongly condemns all acts of sexual violence committed during the conflict, including those committed on 7 October. We call for the cessation of all sexual violence and for leaders to take proactive steps to prevent and enforce accountability for such acts. The perpetrators must be held accountable.",violence_type__VD
C1,P2_post_icj,Guyana,GUY,2024-11-12,S/PV.9781,S/PV.9781#8,fc67ba0339d9fe27,Mrs. Rodrigues-Birkett,VD|VS,ATR-ISR,PN0,T0,,,0.875,1,incessant bombing campaign || incessant bombing campaign || should spur the Council to immediate action to halt the systematic and calculated annihilation of innocent Palestinian civilians by starvation.,"The combination of an incessant bombing campaign, repeated displacement and limited or no access to food, medicine or water has created a firestorm of hunger, malnutrition and disease. The recent statistics provided by the Integrated Food Security Phase Classification and its Famine Review Committee reveal the harrowing details of what innocent civilians — many of them hapless children and infants — are enduring in Gaza. The entire population is experiencing emergency levels of acute food insecurity. If the conflict continues to intensify and expand, along with evacuation orders and the non-entry of humanitarian goods, there is a risk of famine in the entire Gaza Strip. In northern Gaza, several areas have been under siege since the beginning of October, and according to the Famine Review Committee, famine is most likely imminent. All of that is human-made and should spur the Council to immediate action to halt the systematic and calculated annihilation of innocent Palestinian civilians by starvation.",attribution__ATR-ISR|violence_type__VS|transcend__T0|violence_type__VD
C1,P2_post_icj,Syrian Arab Republic,SYR,2024-07-17,S/PV.9687 (Resumption 1),S/PV.9687 (Resumption 1)#34,26a7d52b1e38d80b,Mr. Aldahhak,,,PN3,T0,,,0.85,1,the Syrian Arab Republic reiterated our unrelenting determination to raise our flag over our entire national territories after we liberate them from the scourges of occupation and terrorism. || the Syrian Arab Republic reiterated our unrelenting determination to raise our flag over our entire national territories after we liberate them from the scourges of occupation and terrorism.,"“Last month, the Syrian people, including in the occupied Syrian Golan, commemorated the fiftieth anniversary of raising the flag of the Syrian Arab Republic over the city of Qunaytirah after its liberation from Israeli occupation. On that occasion, the Syrian Arab Republic reiterated our unrelenting determination to raise our flag over our entire national territories after we liberate them from the scourges of occupation and terrorism.",transcend__T0
C1,P2_post_icj,Guyana,GUY,2024-10-16,S/PV.9750,S/PV.9750#6,d259f19b8c19a59c,Mrs. Rodrigues-Birkett,VS,ATR-ISR,PN3,,I1,,0.875,1,"the International Court of Justice has unequivocally declared the illegality of Israel's ongoing occupation... It is therefore illegal for the Israeli Government to move to annex territory in the Gaza Strip || the International Court of Justice has unequivocally declared the illegality of Israel's ongoing occupation... It is therefore illegal for the Israeli Government to move to annex territory in the Gaza Strip || the International Court of Justice has unequivocally declared the illegality of Israel's ongoing occupation, and the General Assembly has demanded that Israel bring to an end its unlawful occupation of the Palestinian territories.","First, the International Court of Justice has unequivocally declared the illegality of Israel’s ongoing occupation, and the General Assembly has demanded that Israel bring to an end its unlawful occupation of the Palestinian territories. It is therefore illegal for the Israeli Government to move to annex territory in the Gaza Strip. Guyana condemns Israel’s actions in that regard.",attribution__ATR-ISR|violence_type__VS
C1,P2_post_icj,Iran,IRN,2024-09-20,S/PV.9730,S/PV.9730#25,3a398d924c0b4786,Mr. Iravani,VD,ATR-ISR,,,,,0.95,1,"handheld communication devices were deliberately detonated, resulting in the loss of at least 37 civilian lives and injuring thousands more, a majority suffering from eye injuries, including Iran's Ambassador. || handheld communication devices were deliberately detonated, resulting in the loss of at least 37 civilian lives and injuring thousands more, a majority suffering from eye injuries, including Iran's Ambassador.","The method of this barbaric attack was as unprecedented as it was cowardly — handheld communication devices were deliberately detonated, resulting in the loss of at least 37 civilian lives and injuring thousands more, a majority suffering from eye injuries, including Iran’s Ambassador.",attribution__ATR-ISR|violence_type__VD
C1,P2_post_icj,Jordan,JOR,2024-04-17,S/PV.9607,S/PV.9607#28,ce913f7c65ab1646,Mr. Safadi,VS,ATR-ISR,PN3,T0,I1,,0.879,1,"Israel drove hundreds of thousands of Palestinians from their homes on their ancestral land || Israel drove hundreds of thousands of Palestinians from their homes on their ancestral land || in accordance with international law and the relevant United Nations resolutions, which uphold their right to return and compensation, and in the context of a comprehensive solution to the conflict.","UNRWA was born out of the Nakba of 1948, when Israel drove hundreds of thousands of Palestinians from their homes on their ancestral land. The United Nations created it as a temporary agency to care for refugees until they could go back home. They have not done so. In 1967, more Palestinians joined them in displacement. The plight of the refugees persists. UNRWA must remain — that is the simple fact. That is the simple obligation that is legal, moral and humane. UNRWA must continue to implement its mandate until the refugee issue is resolved, in accordance with international law and the relevant United Nations resolutions, which uphold their right to return and compensation, and in the context of a comprehensive solution to the conflict. That solution will not be attained unless the cancer — the evil — that is the occupation has ended and the Palestinians are able to live in dignity and freedom in their own independent, sovereign State in their ancestral homeland.",attribution__ATR-ISR|violence_type__VS|transcend__T0
C1,P2_post_icj,Egypt,EGY,2024-07-17,S/PV.9687 (Resumption 1),S/PV.9687 (Resumption 1)#6,17a63c3694d31c10,Mr. Mahmoud,VD|VS,ATR-ISR|NONE,,,,,0.825,1,"The killing of Palestinians is increasing to levels not seen in two decades || The killing of Palestinians is increasing to levels not seen in two decades || Israel continues to adopt unprecedented extremist policies to legitimize settlements, seize Palestinian territories and change the status quo of religious and holy sites in East Jerusalem, especially Al-Aqsa Mosque","The killing of Palestinians is increasing to levels not seen in two decades, yet Israel continues to adopt unprecedented extremist policies to legitimize settlements, seize Palestinian territories and change the status quo of religious and holy sites in East Jerusalem, especially Al-Aqsa Mosque.",attribution__ATR-ISR|violence_type__VS|violence_type__VD
C1,P2_post_icj,Guyana,GUY,2024-04-18,S/PV.9608,S/PV.9608#20,d656250295fd14eb,Mrs. Rodrigues-Birkett,VD|VS,NONE,PN0,,,,0.83,1,a deliberate strategy of collective punishment of the worst kind is being inflicted on the Palestinian people || a deliberate strategy of collective punishment of the worst kind is being inflicted on the Palestinian people || It must stop.,"Having considered all of the deprivations to which the population in the Gaza Strip has been subject to since 7 October, one can justifiably conclude that a deliberate strategy of collective punishment of the worst kind is being inflicted on the Palestinian people. That strategy involves indiscriminately wounding civilians while simultaneously shrinking their access to health care. It also involves a systematic decrease in the safe places to which they have access, cramming them into smaller and smaller spaces while simultaneously threatening to bomb those same spaces. The strategy has also incorporated starvation as a method of warfare, as evidenced by, inter alia, attacks on those attempting to meet the needs of starving Palestinians. Palestinians themselves have been fatally attacked while seeking sustenance. The results of this strategy have been malnutrition, famine, disease and death. It must stop.",violence_type__VS|violence_type__VD
C1,P2_post_icj,Guyana,GUY,2024-09-25,S/PV.9733,S/PV.9733#14,55886d5830b05058,Ms. Persaud,VD,ATR-PAL,,,,,0.9,1,"Hizbullah has claimed multiple strikes against military targets of the Israel Defense Forces, with rocket barrages, drones and artillery, in northern Israel and the occupied Syrian Golan || Hizbullah has claimed multiple strikes against military targets of the Israel Defense Forces, with rocket barrages, drones and artillery, in northern Israel and the occupied Syrian Golan","At the same time, Hizbullah has claimed multiple strikes against military targets of the Israel Defense Forces, with rocket barrages, drones and artillery, in northern Israel and the occupied Syrian Golan.",violence_type__VD
