country,Albania,Algeria,Argentina,Bahrain,Bangladesh,Belgium,Brazil,Chile,China,Colombia,Cuba,Denmark,Ecuador,Egypt,France,Gabon,Ghana,Greece,Guyana,India,Indonesia,Iran,Iraq,Ireland,Japan,Jordan,Kazakhstan,Kuwait,Lebanon,Libya,Liechtenstein,Malaysia,Maldives,Malta,Mauritania,Mexico,Morocco,Mozambique,Namibia,New Zealand,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Russian Federation,Saudi Arabia,Sierra Leone,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Switzerland,Syrian Arab Republic,Thailand,Tunisia,Türkiye,Uganda,United Arab Emirates,United Kingdom,United States,Venezuela,Viet Nam,Yemen
Cuba,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Denmark,0.97,0.005,0.99,0.995,0.005,0.995,0.995,0.98,0.31,0.9,0.005,1.0,0.995,0.005,0.995,0.995,0.995,0.995,0.24,0.995,0.095,0.005,0.005,0.995,0.995,0.005,0.995,0.005,0.055,0.005,0.86,0.005,0.1,0.995,0.005,0.995,0.945,0.995,0.78,0.99,0.985,0.005,0.005,0.995,0.995,0.995,0.995,0.995,0.055,0.995,0.1,0.005,0.995,0.995,0.015,0.25,0.995,0.995,0.995,0.005,0.995,0.005,0.015,0.045,0.995,0.91,0.905,0.005,0.99,0.175
Ecuador,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Egypt,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
France,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Gabon,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Ghana,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Greece,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Guyana,0.25,0.765,0.24,0.235,0.765,0.235,0.235,0.25,0.63,0.29,0.765,0.24,0.235,0.765,0.235,0.235,0.235,0.235,1.0,0.235,0.765,0.765,0.765,0.235,0.235,0.765,0.235,0.765,0.805,0.765,0.32,0.765,0.73,0.235,0.765,0.235,0.275,0.235,0.37,0.24,0.245,0.765,0.765,0.235,0.235,0.235,0.235,0.235,0.745,0.235,0.84,0.765,0.235,0.235,0.755,0.7,0.235,0.235,0.235,0.765,0.235,0.765,0.755,0.745,0.235,0.33,0.315,0.765,0.24,0.675
India,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Indonesia,0.115,0.91,0.095,0.09,0.91,0.09,0.09,0.105,0.695,0.185,0.91,0.095,0.09,0.91,0.09,0.09,0.09,0.09,0.765,0.09,1.0,0.91,0.91,0.09,0.09,0.91,0.09,0.91,0.9,0.91,0.235,0.91,0.875,0.09,0.91,0.09,0.13,0.09,0.305,0.095,0.1,0.91,0.91,0.09,0.09,0.09,0.09,0.09,0.89,0.09,0.865,0.91,0.09,0.09,0.92,0.725,0.09,0.09,0.09,0.91,0.09,0.91,0.9,0.87,0.09,0.175,0.18,0.91,0.095,0.78
Iran,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Iraq,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Ireland,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Japan,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Jordan,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Kazakhstan,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Kuwait,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Lebanon,0.075,0.95,0.055,0.05,0.95,0.05,0.05,0.065,0.695,0.145,0.95,0.055,0.05,0.95,0.05,0.05,0.05,0.05,0.805,0.05,0.9,0.95,0.95,0.05,0.05,0.95,0.05,0.95,1.0,0.95,0.185,0.95,0.875,0.05,0.95,0.05,0.09,0.05,0.255,0.055,0.06,0.95,0.95,0.05,0.05,0.05,0.05,0.05,0.9,0.05,0.955,0.95,0.05,0.05,0.94,0.755,0.05,0.05,0.05,0.95,0.05,0.95,0.94,0.93,0.05,0.145,0.15,0.95,0.055,0.81
Libya,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Liechtenstein,0.87,0.145,0.86,0.855,0.145,0.855,0.855,0.84,0.38,0.83,0.145,0.86,0.855,0.145,0.855,0.855,0.855,0.855,0.32,0.855,0.235,0.145,0.145,0.855,0.855,0.145,0.855,0.145,0.185,0.145,1.0,0.145,0.23,0.855,0.145,0.855,0.865,0.855,0.84,0.86,0.855,0.145,0.145,0.855,0.855,0.855,0.855,0.855,0.195,0.855,0.23,0.145,0.855,0.855,0.155,0.39,0.855,0.855,0.855,0.145,0.855,0.145,0.145,0.175,0.855,0.81,0.825,0.145,0.86,0.315
Malaysia,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Maldives,0.12,0.905,0.1,0.095,0.905,0.095,0.095,0.11,0.69,0.18,0.905,0.1,0.095,0.905,0.095,0.095,0.095,0.095,0.73,0.095,0.875,0.905,0.905,0.095,0.095,0.905,0.095,0.905,0.875,0.905,0.23,0.905,1.0,0.095,0.905,0.095,0.145,0.095,0.29,0.1,0.105,0.905,0.905,0.095,0.095,0.095,0.095,0.095,0.885,0.095,0.84,0.905,0.095,0.095,0.915,0.72,0.095,0.095,0.095,0.905,0.095,0.905,0.895,0.865,0.095,0.16,0.175,0.905,0.1,0.795
Malta,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Mauritania,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Mexico,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Morocco,0.935,0.05,0.945,0.95,0.05,0.95,0.95,0.945,0.345,0.885,0.05,0.945,0.95,0.05,0.95,0.95,0.95,0.95,0.275,0.95,0.13,0.05,0.05,0.95,0.95,0.05,0.95,0.05,0.09,0.05,0.865,0.05,0.145,0.95,0.05,0.95,1.0,0.95,0.775,0.945,0.95,0.05,0.05,0.95,0.95,0.95,0.95,0.95,0.1,0.95,0.135,0.05,0.95,0.95,0.06,0.295,0.95,0.95,0.95,0.05,0.95,0.05,0.06,0.09,0.95,0.865,0.85,0.05,0.955,0.22
Mozambique,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Namibia,0.77,0.225,0.77,0.775,0.225,0.775,0.775,0.77,0.38,0.77,0.225,0.78,0.775,0.225,0.775,0.775,0.775,0.775,0.37,0.775,0.305,0.225,0.225,0.775,0.775,0.225,0.775,0.225,0.255,0.225,0.84,0.225,0.29,0.775,0.225,0.775,0.775,0.775,1.0,0.77,0.785,0.225,0.225,0.775,0.775,0.775,0.775,0.775,0.245,0.775,0.29,0.225,0.775,0.775,0.225,0.45,0.775,0.775,0.775,0.225,0.775,0.225,0.225,0.265,0.775,0.74,0.735,0.225,0.78,0.385
New Zealand,0.98,0.005,0.99,0.995,0.005,0.995,0.995,0.98,0.31,0.9,0.005,0.99,0.995,0.005,0.995,0.995,0.995,0.995,0.24,0.995,0.095,0.005,0.005,0.995,0.995,0.005,0.995,0.005,0.055,0.005,0.86,0.005,0.1,0.995,0.005,0.995,0.945,0.995,0.77,1.0,0.985,0.005,0.005,0.995,0.995,0.995,0.995,0.995,0.055,0.995,0.1,0.005,0.995,0.995,0.015,0.25,0.995,0.995,0.995,0.005,0.995,0.005,0.015,0.045,0.995,0.9,0.905,0.005,0.99,0.175
Norway,0.965,0.01,0.985,0.99,0.01,0.99,0.99,0.975,0.305,0.915,0.01,0.985,0.99,0.01,0.99,0.99,0.99,0.99,0.245,0.99,0.1,0.01,0.01,0.99,0.99,0.01,0.99,0.01,0.06,0.01,0.855,0.01,0.105,0.99,0.01,0.99,0.95,0.99,0.785,0.985,1.0,0.01,0.01,0.99,0.99,0.99,0.99,0.99,0.06,0.99,0.105,0.01,0.99,0.99,0.02,0.255,0.99,0.99,0.99,0.01,0.99,0.01,0.02,0.05,0.99,0.895,0.89,0.01,0.985,0.18
Oman,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Pakistan,0.025,1.0,0.005,0.0,1.0,0.0,0.0,0.015,0.695,0.095,1.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.765,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.95,1.0,0.145,1.0,0.905,0.0,1.0,0.0,0.05,0.0,0.225,0.005,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.905,1.0,0.0,0.0,0.99,0.755,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.96,0.0,0.095,0.1,1.0,0.005,0.83
Panama,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Peru,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
Philippines,0.975,0.0,0.995,1.0,0.0,1.0,1.0,0.985,0.305,0.905,0.0,0.995,1.0,0.0,1.0,1.0,1.0,1.0,0.235,1.0,0.09,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.855,0.0,0.095,1.0,0.0,1.0,0.95,1.0,0.775,0.995,0.99,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.095,0.0,1.0,1.0,0.01,0.245,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.04,1.0,0.905,0.9,0.0,0.995,0.17
